College,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,LATITUDE,LONGITUDE
University of Wisconsin-Milwaukee,3,4,Public,Great Lakes,Large City,0.86080000000000001,21747,21203,22,1030,0.71699999999999997,8.2199999999999995E-2,7.5899999999999995E-2,5.96E-2,4.3E-3,8.0000000000000004E-4,3.1399999999999997E-2,2.7099999999999999E-2,0.1399,8301,8037,0.95989999999999998,0.35670000000000002,0.41410000000000002,0.70069999999999999,0.2233,6.1,17459,25107.5,11000,0.959999979,0.44999998800000002,21.379999160000001,73393.86,66757,6.3099999430000002,549,6040,40900,38100,43.07684762,-87.88048801
Western Michigan University,3,4,Public,Great Lakes,Small City,0.82850000000000001,18755,22483,22,1030,0.74829999999999997,0.11219999999999999,4.7699999999999999E-2,1.4E-2,4.1999999999999997E-3,1.4E-3,3.1E-2,2.93E-2,0.1565,9354,9016,0.623,0.39689999999999998,0.54910000000000003,0.73709999999999998,0.1348,7.7,20875,27000,12000,0.97000002900000004,0.469999999,20.370000839999999,81449.440000000002,74325,5.5999999049999998,473,6209,41600,37900,42.28079931,-85.61348244
University of Central Oklahoma,3,4,Public,Southwest,Large Suburb,0.83979999999999999,15119,16684,22,1030,0.59819999999999995,8.8800000000000004E-2,7.3999999999999996E-2,3.1699999999999999E-2,4.0500000000000001E-2,1.9E-3,6.9599999999999995E-2,7.3200000000000001E-2,0.28139999999999998,6560,6382,0.9819,0.34960000000000002,0.35620000000000002,0.65110000000000001,0.26400000000000001,10.5,12500,22250,9001,0.85000002399999997,0.66000002599999996,22.659999849999998,49363.75,36756.5,9.3500003809999992,461,3746,39600,35500,35.65832862,-97.47152431
Minnesota State University-Mankato,3,4,Public,Great Plains,Small City,0.65549999999999997,12542,17578,22,1030,0.78859999999999997,4.8000000000000001E-2,3.44E-2,3.2300000000000002E-2,2.3E-3,4.0000000000000002E-4,2.5000000000000001E-2,5.04E-2,0.1017,5706,8155,0.60599999999999998,0.29060000000000002,0.4904,0.73629999999999995,0.11840000000000001,4.7,15116,23029,10490,0.959999979,0.439999998,20.799999239999998,76286.679999999993,71852,4.75,216,4019,41000,38100,44.147253,-93.998494
Southeastern Louisiana University,3,4,Public,Southeast,Small City,0.44800000000000001,11704,15729,22,1030,0.6875,0.1646,5.7299999999999997E-2,6.8999999999999999E-3,2.8999999999999998E-3,1.1999999999999999E-3,5.5500000000000001E-2,1.61E-2,0.1472,5391,6335,0.79879999999999995,0.33339999999999997,0.35820000000000002,0.63280000000000003,0.13719999999999999,8.6999999999999993,11670,21465,8258.5,0.83999997400000004,0.709999979,21.56999969,46591.28,32109.5,12.90999985,527,3757,36200,33400,30.51358011,-90.46855815
Cleveland State University,3,4,Public,Great Lakes,Large City,0.62870000000000004,11484,22041,22,1030,0.62760000000000005,0.19189999999999999,4.8899999999999999E-2,2.4500000000000001E-2,2.0999999999999999E-3,1.1000000000000001E-3,2.69E-2,4.7699999999999999E-2,0.2261,8213,8624,1,0.43440000000000001,0.31979999999999997,0.67210000000000003,0.30780000000000002,9,16500,24000,11888,0.93000000699999996,0.61000001400000003,24.709999079999999,43936.800000000003,31001,9.9200000760000009,446,3143,39900,36900,41.50228136,-81.67435526
University of Wisconsin-Oshkosh,3,4,Public,Great Lakes,Small City,0.81340000000000001,10633,16935,22,1030,0.87909999999999999,1.9800000000000002E-2,2.93E-2,3.7100000000000001E-2,8.8999999999999999E-3,5.0000000000000001E-4,1.7999999999999999E-2,6.4000000000000003E-3,0.14019999999999999,7138,6793,0.98819999999999997,0.2762,0.53510000000000002,0.75219999999999998,0.14810000000000001,4.5,16852,23868,9489,0.959999979,0.439999998,21.459999079999999,72876.789999999994,69462,4.1500000950000002,142,2972,39200,37500,44.02498538,-88.54928178
University of Wisconsin-Whitewater,3,4,Public,Great Lakes,Distant Town,0.8468,10438,16107,22,1030,0.85850000000000004,4.7800000000000002E-2,4.1399999999999999E-2,1.66E-2,1.9E-3,5.0000000000000001E-4,2.4299999999999999E-2,7.7999999999999996E-3,6.1600000000000002E-2,5681,7073,0.98699999999999999,0.29630000000000001,0.54830000000000001,0.76939999999999997,8.8499999999999995E-2,7.6,18681,25250,9750,0.959999979,0.439999998,20.790000920000001,76990.02,73639,4.7800002099999999,184,2760,39800,38200,42.835563,-88.74236834
University of Northern Iowa,3,4,Public,Great Plains,Small City,0.83309999999999995,10170,19233,22,1030,0.87050000000000005,2.6800000000000001E-2,2.76E-2,8.0999999999999996E-3,1.8E-3,5.0000000000000001E-4,1.6500000000000001E-2,3.2599999999999997E-2,8.5699999999999998E-2,9117,8062,0.75419999999999998,0.27039999999999997,0.66490000000000005,0.83,9.2299999999999993E-2,4.8,18500,22148,12000,0.980000019,0.439999998,20.81999969,74741.679999999993,70699,5.8099999430000002,230,4062,42100,38700,42.51492254,-92.45970326
Northern Michigan University,3,4,Public,Great Lakes,Remote Town,0.73129999999999995,7959,18466,22,1030,0.85289999999999999,2.3699999999999999E-2,2.81E-2,5.4999999999999997E-3,0.02,8.0000000000000004E-4,1.8800000000000001E-2,9.4000000000000004E-3,7.85E-2,6506,7442,0.69669999999999999,0.38479999999999998,0.4829,0.72199999999999998,0.16189999999999999,12.1,14601,22319,8250,0.94999998799999996,0.56999999300000004,21.340000150000002,65244.05,57707,6.3800001139999996,323,2698,34100,30800,46.55803664,-87.40385725
University of Memphis,3,4,Public,Southeast,Large City,0.68410000000000004,16178,20899,22,1031,0.49880000000000002,0.39360000000000001,3.4299999999999997E-2,2.6499999999999999E-2,2.5000000000000001E-3,1.1000000000000001E-3,3.0200000000000001E-2,8.3000000000000001E-3,0.2409,8742,8304,0.64149999999999996,0.47099999999999997,0.432,0.75829999999999997,0.27410000000000001,12.4,18938,26393.5,13774.5,0.87999999500000003,0.709999979,23.299999239999998,45004.14,29727,11.989999770000001,455,3442,38900,33700,35.12207587,-89.93788281
University of Toledo,3,4,Public,Great Lakes,Large City,0.9073,15440,21263,22,1031,0.69469999999999998,0.13900000000000001,4.4699999999999997E-2,2.3300000000000001E-2,2.0999999999999999E-3,8.0000000000000004E-4,2.5000000000000001E-2,4.4299999999999999E-2,0.1615,12173,8426,0.71919999999999995,0.37919999999999998,0.45429999999999998,0.68049999999999999,0.15909999999999999,13.5,14500,24994,9500,0.94999998799999996,0.540000021,21.43000031,65254.02,57163,7.7699999809999998,498,4974,43600,37600,41.6572464,-83.61593552
Southern Illinois University-Carbondale,3,4,Public,Great Lakes,Small City,0.78869999999999996,13220,24234,22,1032,0.64349999999999996,0.2026,7.0900000000000005E-2,1.7899999999999999E-2,2.5000000000000001E-3,1.1000000000000001E-3,2.8500000000000001E-2,3.1600000000000003E-2,0.1118,16344,7208,0.86050000000000004,0.43259999999999998,0.43369999999999997,0.60440000000000005,0.19400000000000001,9.3000000000000007,15245,22500,10500,0.93000000699999996,0.56999999300000004,22.170000080000001,59660.34,47485,8.9499998089999995,512,5562,41800,37400,37.717389,-89.221214
Valdosta State University,3,4,Public,Southeast,Small City,0.55220000000000002,9634,20958,22,1033,0.53010000000000002,0.35670000000000002,4.2000000000000003E-2,9.9000000000000008E-3,2.3E-3,1.6999999999999999E-3,3.0599999999999999E-2,2.2499999999999999E-2,0.14369999999999999,5873,5998,0.96709999999999996,0.4592,0.4017,0.6885,0.15,10.199999999999999,16000,25245,11000,0.91000002599999996,0.56999999300000004,21.719999309999999,63517.53,51351,10.739999770000001,293,2558,36300,34300,30.84923561,-83.2899252
Brigham Young University-Idaho,3,3,Private,Rocky Mountains,Distant Town,0.99629999999999996,20208,10438,23,1036,0.83189999999999997,5.4999999999999997E-3,3.2300000000000002E-2,9.5999999999999992E-3,3.3E-3,4.0000000000000001E-3,5.5800000000000002E-2,4.1200000000000001E-2,0.28889999999999999,4198,8206,0.43519999999999998,0.3881,0.60109999999999997,0.67549999999999999,0.371,2.9,7725,11966.5,6250,0.68000000699999996,0.87000000499999997,21.270000459999999,48558.75,31581,7.9400000569999998,1481,3339,39300,33800,43.81538377,-111.7847282
